"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","lb.bayes.sdprior5","ub.bayes.sdprior5","cover.bayes.sdprior5","width.bayes.sdprior5","lb.bayes.sdprior10","ub.bayes.sdprior10","cover.bayes.sdprior10","width.bayes.sdprior10","lb.bayes.sdprior15","ub.bayes.sdprior15","cover.bayes.sdprior15","width.bayes.sdprior15","lb.bayes.sdprior20","ub.bayes.sdprior20","cover.bayes.sdprior20","width.bayes.sdprior20","lb.bayes.sdprior25","ub.bayes.sdprior25","cover.bayes.sdprior25","width.bayes.sdprior25","lb.bayes.sdprior30","ub.bayes.sdprior30","cover.bayes.sdprior30","width.bayes.sdprior30","NA"
"239",39,10,0,55.5121382123034,61.473732451353,1,5.96159423904953,55.6161658899049,61.5008520674935,1,5.88468617758861,59.6466180668201,65.4129831634961,0,5.76636509667599,58.0427863363603,63.7743830768347,0,5.73159674047444,57.0355753697937,63.1302418810122,1,6.09466651121853,56.5794945421879,62.9587843960662,1,6.37928985387833,56.5953297250731,62.8476345934722,1,6.25230486839909,56.2799051209396,62.5244297955013,1,6.24452467456169,70
"240",40,10,0,51.7208849176792,60.7697188880039,1,9.04883397032474,51.3582949262921,60.5478439269287,1,9.1895490006366,60.2697420456706,67.1922134271681,0,6.92247138149748,57.4713877135972,65.6644031329332,1,8.19301541933604,55.7026297705279,64.6200486716288,1,8.9174189011009,54.2166331698691,63.4861709354876,1,9.26953776561847,54.2614274672867,64.1236765291359,1,9.86224906184918,53.893341292247,63.2896289603749,1,9.39628766812791,70
"241",41,10,0,52.996197721599,60.2095234629491,1,7.21332574135016,51.853163419136,59.2829198966804,1,7.42975647754442,65.487273142559,73.9773482703084,0,8.49007512774942,63.0570419432182,75.2849366652682,0,12.2278947220499,61.6865061628139,76.4882775172467,0,14.8017713544328,62.8823290387245,77.9880471287399,0,15.1057180900154,60.332307211959,77.0812332178572,0,16.7489260058982,53.839292033986,79.8839784817893,1,26.0446864478032,70
"242",42,10,0,57.8094912751159,65.2940155140101,1,7.48452423889423,57.8030278394299,65.246602514833,1,7.44357467540319,62.0863002208505,67.6979746450095,0,5.61167442415908,60.5672255307306,66.8815975050626,0,6.314371974332,59.8768178948577,66.2666764793167,0,6.389858584459,59.2757726166439,66.1281020453388,0,6.85232942869482,59.0520898471296,66.113482376039,0,7.06139252890939,58.7456875079011,65.8133949734452,0,7.06770746554405,70
"243",43,10,0,51.618643818371,60.5522191679772,1,8.93357534960617,49.9601323874531,59.5313926908035,1,9.57126030335048,58.7580511119502,64.5631103978979,0,5.80505928594773,55.5682066096157,63.1229007852724,1,7.55469417565675,54.8655001434644,62.1474555765013,1,7.28195543303695,54.1985443456231,61.4452016094879,1,7.2466572638648,54.4814075831603,61.4762624955955,1,6.99485491243524,53.8222271238247,61.0445734851988,1,7.22234636137414,70
"244",44,10,0,54.9487192894619,60.890087546413,1,5.94136825695102,54.223512649804,60.4770409849286,1,6.25352833512465,58.3201124385137,62.8485084724374,0,4.52839603392368,57.0577701228039,61.9472218551266,1,4.88945173232266,56.5977205574102,61.3039815084032,1,4.70626095099296,55.8609082309993,61.033344814612,1,5.17243658361276,55.9756369354706,60.7816402807548,1,4.80600334528413,56.0801725579552,60.7223530018068,1,4.64218044385157,70
"245",45,10,0,54.9843087056351,59.6289015886262,1,4.64459288299109,55.1576539688383,59.8314112650149,1,4.6737572961766,57.2744600250297,61.0023094930773,1,3.72784946804759,56.4125321564696,60.156725709034,1,3.74419355256446,56.140950707589,60.0229685887592,1,3.88201788117016,56.0369556413411,59.6320366195162,1,3.59508097817509,55.6894227851845,59.5294212245458,1,3.83999843936131,55.7840814475395,59.4203816280597,1,3.63630018052027,70
"246",46,10,0,53.3652469037959,60.2526063987141,1,6.88735949491812,52.8777576275943,59.9483558896326,1,7.07059826203827,58.1616498513399,62.9800059701078,0,4.81835611876783,56.2634433996926,62.0276844845486,1,5.76424108485597,55.4391152825192,61.0418869015726,1,5.60277161905343,55.1810552751708,60.6535044833051,1,5.47244920813429,54.766083215323,60.475725408704,1,5.70964219338101,54.6504403520374,60.4203348618797,1,5.76989450984232,70
"247",47,10,0,55.9304528134196,62.5958316687958,1,6.66537885537616,56.2871718237979,62.7309066367652,1,6.4437348129673,60.4171836951713,66.2537433172223,0,5.83655962205103,58.7895994843309,65.190040437517,0,6.4004409531861,57.823378664694,64.6492510947963,1,6.82587243010227,57.1614258603732,64.0532345018756,1,6.89180864150238,56.8195297475438,63.9686662546294,1,7.14913650708561,56.9962281196379,63.4811942217532,1,6.48496610211527,70
"248",48,10,0,51.0397082026626,60.7518811256036,1,9.71217292294105,49.6995752949554,60.028132150563,1,10.3285568556075,58.8286210870143,65.0587302002221,0,6.2301091132078,56.1279338704721,62.7274335894109,1,6.59949971893882,54.792082535138,61.8201995473553,1,7.02811701221734,54.1547064068888,62.1599022444516,1,8.0051958375628,54.0275061981876,61.5383864125215,1,7.51088021433393,53.8258472946012,61.1837260918289,1,7.35787879722762,70
"249",49,10,0,57.341610545036,60.8677335917491,1,3.52612304671311,56.917304517746,60.6169296202896,1,3.69962510254359,58.6212079563849,61.1055746200053,0,2.48436666362035,58.2329472578678,60.8210117405775,0,2.58806448270969,58.0719329947223,60.7007727107231,0,2.6288397160008,57.9881300727269,60.6474427242157,1,2.65931265148875,57.9222385001531,60.5914229050099,1,2.66918440485676,57.9057052095916,60.6376192602968,1,2.73191405070521,70
"250",50,10,0,53.443523367574,61.8488153959873,1,8.40529202841329,53.6627705671959,61.7395330976036,1,8.07676253040776,59.7841913795399,65.2645871952228,0,5.48039581568283,56.9800703847383,64.1275922586453,1,7.14752187390701,56.0093605482406,63.1397369342323,1,7.1303763859917,55.9537276584725,62.6463691226431,1,6.69264146417054,55.619363491949,62.4457207554112,1,6.82635726346218,54.8754502547244,62.2942644249809,1,7.4188141702565,70
"251",51,10,0,55.7799398117776,60.1022808754213,1,4.32234106364371,55.7129397100002,60.0387811954643,1,4.32584148546411,57.8223833701314,61.5567205014421,1,3.73433713131072,56.8889096999452,60.8072667506541,1,3.91835705070898,56.6886523279934,60.5862497838362,1,3.89759745584285,56.5392054788033,60.6401750092168,1,4.10096953041349,56.3460348626581,60.6641506499828,1,4.31811578732469,56.2627633662951,60.401467917074,1,4.1387045507789,70
"252",52,10,0,52.2389654114797,59.7328863820672,1,7.49392097058745,52.9848755308077,60.9940556026622,1,8.00918007185452,59.458735165831,66.3734041410115,0,6.9146689751806,57.0065778621585,64.1232503461019,1,7.11667248394338,55.885539530055,63.7669958010535,1,7.88145627099849,54.7221348633392,62.9729372162541,1,8.25080235291493,53.4881927931195,62.1126144240208,1,8.62442163090131,53.3765297825031,61.9636719392859,1,8.58714215678285,70
"253",53,10,0,54.3810071631668,61.456730063026,1,7.07572289985922,53.7973452528728,61.0225061302274,1,7.22516087735465,58.7102711776228,64.0208527420042,0,5.31058156438142,57.3338833532875,62.6747876583621,1,5.34090430507459,56.5283915999904,62.4025650258625,1,5.87417342587209,56.0466429408932,61.8416008901208,1,5.79495794922765,55.987972478076,61.6478092057217,1,5.65983672764564,55.9605060000342,61.7441740572426,1,5.7836680572084,70
"254",54,10,0,53.3322790729404,60.4458653658398,1,7.11358629289938,54.0872332896036,61.0511849116785,1,6.96395162207494,58.8063002495423,64.811342048292,0,6.00504179874971,56.7797787575188,63.2437694698622,1,6.46399071234345,55.2602892552235,62.455607595253,1,7.19531834002957,54.9786372851207,61.8454389744848,1,6.86680168936411,54.9465130671123,61.9832121186366,1,7.03669905152433,54.2383854051354,61.4641705765806,1,7.22578517144521,70
"255",55,10,0,55.3354254012996,61.3223101924633,1,5.98688479116375,55.7555490911301,61.6822650323313,1,5.92671594120124,59.0515632302247,64.0241443789651,0,4.97258114874042,57.6092191791773,63.1501651949108,1,5.54094601573352,57.1917983086908,62.3734793317022,1,5.18168102301141,56.6391430602197,62.1888076167621,1,5.5496645565424,56.2266849546627,62.3691194983505,1,6.14243454368783,56.1723869864317,62.0765200408677,1,5.90413305443598,70
"256",56,10,0,54.0221598347351,59.4163204663618,1,5.39416063162672,53.5460368702299,59.0875128613101,1,5.54147599108021,57.3179666969667,61.3648944431591,1,4.04692774619239,55.9634748504933,60.4589557869758,1,4.49548093648244,55.4741439201938,59.9490654690881,1,4.47492154889432,55.4087168222478,59.7279949649002,1,4.31927814265237,54.8723936808486,59.425724833021,1,4.55333115217233,54.7076007366541,59.3753195457545,1,4.66771880910039,70
"257",57,10,0,55.9449478228268,61.5379905135431,1,5.59304269071629,55.2249393509318,61.1363542348006,1,5.91141488386871,58.8519455904912,62.6654790329666,0,3.81353344247542,57.8438944076244,61.8114922903539,1,3.96759788272956,57.4812210024521,61.4112094767026,1,3.92998847425056,57.3505605146629,61.392490721383,1,4.04193020672011,57.2977658253514,61.3898597303763,1,4.09209390502482,57.1701378410694,61.2918684355135,1,4.12173059444412,70
"258",58,10,0,55.1533374462333,62.3321201962282,1,7.17878274999484,55.6195016479124,63.0244773136025,1,7.40497566569005,60.456089369218,66.1231413610029,0,5.66705199178494,57.7713286498949,64.7292637610182,1,6.9579351111233,57.1270245666201,63.9179639609277,1,6.79093939430764,56.8931934985909,63.7665963091,1,6.87340281050901,56.7390482475184,63.5331804888536,1,6.7941322413352,56.4126631965414,63.0991140491584,1,6.68645085261701,70
"259",59,10,0,53.7477321137134,58.8369536285995,1,5.08922151488608,52.8154610892919,58.3654421025857,1,5.54998101329378,65.7427631903914,73.6883347964845,0,7.94557160609303,63.392777425376,74.625982239829,0,11.2332048144529,63.8706802913873,76.7403034452585,0,12.8696231538712,62.0810702852142,78.1308494122042,0,16.04977912699,62.4457352309552,80.419278418822,0,17.9735431878667,59.3184220574042,77.778708642642,0,18.4602865852378,70
"260",60,10,0,51.4250656662293,59.109158816277,1,7.68409315004776,51.170962779571,58.3145682791511,1,7.14360549958009,57.3861117291404,63.0401758588334,1,5.65406412969297,55.0444511606489,61.0119407318912,1,5.96748957124227,54.4731318497428,60.1581111491105,1,5.68497929936769,53.8914405674606,59.9336381012935,1,6.04219753383291,53.3352916946616,59.6256284730912,1,6.29033677842958,53.1418370665641,59.6761515632673,1,6.53431449670315,70
"261",61,10,0,57.1430928344755,64.9761331844538,1,7.8330403499783,56.0980684669457,64.3869545981991,1,8.28888613125343,61.3894569396491,67.3292833505932,0,5.93982641094406,59.9369810929609,66.0139791580695,0,6.07699806510861,59.0988749100731,65.6082991526449,0,6.50942424257178,58.8545783980491,65.1800438838734,0,6.32546548582427,58.5837427377925,65.1802816953672,0,6.59653895757474,58.5613441178315,65.3368134339365,0,6.77546931610502,70
"262",62,10,0,54.161446305309,60.9565266310148,1,6.79508032570573,53.0862491950063,60.0853146561862,1,6.99906546117992,58.3104525687995,62.8511497766875,0,4.54069720788799,56.7233161028307,61.4776570128988,1,4.75434091006808,56.3410903867124,60.9932784005121,1,4.6521880137997,55.9330546874937,61.0822358510344,1,5.14918116354065,56.0433116207167,60.8297252180073,1,4.78641359729059,55.6808465250262,60.7156642055534,1,5.03481768052719,70
"263",63,10,0,54.8088792761407,60.8229926450311,1,6.01411336889042,54.7204122476134,60.6989741481938,1,5.97856190058049,65.4616315109839,74.4155106039267,0,8.95387909294283,63.9037471791529,75.6164729270715,0,11.7127257479186,61.4921292788181,76.4152679964545,0,14.9231387176364,60.9459102267781,76.6096550348471,0,15.663744808069,61.9340616961808,76.7345212059303,0,14.8004595097495,58.4320062342825,78.7187047600986,0,20.2866985258161,70
"264",64,10,0,55.594994055398,60.7418890384824,1,5.14689498308438,56.1096170083832,61.328412094844,1,5.21879508646086,58.9989118028172,63.8034660757556,0,4.80455427293843,57.3826210531893,62.5557679410745,1,5.17314688788522,56.8956345108593,62.2881195949523,1,5.39248508409298,56.3800631435556,61.6524808653849,1,5.27241772182926,56.0941522021177,61.6063518855809,1,5.51219968346325,56.16844165253,61.5175491762739,1,5.34910752374392,70
"265",65,10,0,53.7863164654592,58.3641681696536,1,4.57785170419439,53.4090686544947,58.2189701267796,1,4.80990147228492,56.4018769349342,59.9931011051553,1,3.59122417022108,55.4307905906452,59.0853135440099,1,3.65452295336471,54.7580451381671,58.8806801782591,1,4.12263504009204,54.8086758648959,58.6229698637339,1,3.81429399883802,54.6621395451368,58.500195710072,1,3.83805616493525,54.6260108762732,58.4150169006116,1,3.78900602433838,70
"266",66,10,0,56.3194075830385,61.4406496460607,1,5.12124206302217,56.0538077258925,61.0268075401962,1,4.97299981430366,58.6812880227896,62.2946457301301,0,3.61335770734048,57.7026330593377,61.6726776349409,1,3.97004457560327,57.6141841615976,61.391421201081,1,3.77723703948342,57.462089257902,61.2018558115411,1,3.73976655363914,57.1933614868762,61.0400204127192,1,3.84665892584307,57.2441265827612,61.159471227593,1,3.91534464483181,70
"267",67,10,0,56.4626391964551,62.6149559296595,1,6.15231673320446,56.5141335672891,62.404002346833,1,5.88986877954392,60.0094585696528,64.7501871591789,0,4.74072858952609,58.6541496957041,63.5946917243877,0,4.94054202868359,58.21465958898,63.4286450952826,0,5.21398550630263,57.9241874912808,63.1619985399823,1,5.23781104870155,57.4358883950667,62.8434742174744,1,5.40758582240767,57.46704162437,62.7926572831076,1,5.32561565873758,70
"268",68,10,0,54.7855237328084,62.5886593587716,1,7.80313562596317,54.6181863308263,62.2478226368357,1,7.62963630600947,60.2154563188847,65.6942579960263,0,5.47880167714164,58.1375252989453,63.9626143281846,0,5.82508902923932,57.4727523648659,63.7971248652705,1,6.32437250040454,56.5063483055285,63.5073022128229,1,7.00095390729442,56.7623644705374,63.4830745356304,1,6.72071006509303,56.328448905346,63.0252945003102,1,6.6968455949642,70
"269",69,10,0,54.2203260551314,59.7690919815997,1,5.54876592646835,55.0335731058357,61.0848619497714,1,6.05128884393569,58.6002281430489,63.4606703597902,0,4.86044221674122,56.4746702552406,62.3770661045448,1,5.90239584930413,55.4453115018322,61.5100027147657,1,6.06469121293355,55.5559630645822,61.3984099260929,1,5.84244686151071,55.0495699880656,60.9489830510277,1,5.89941306296213,54.6956424483606,61.1289391002935,1,6.43329665193285,70
"270",70,10,0,52.8515513133281,59.5393407264293,1,6.68778941310117,52.4996849470594,59.4422306603689,1,6.94254571330954,57.9210511019757,62.9961006614125,1,5.07504955943672,55.5957981479744,61.1794236912735,1,5.58362554329912,54.923469526103,60.7786440322314,1,5.85517450612835,54.5640750103059,60.6409608019273,1,6.07688579162139,54.2497175451482,60.6359920360773,1,6.38627449092906,54.1495846090224,60.2533823198702,1,6.1037977108478,70
"271",71,10,0,54.2597737249506,60.2199043719397,1,5.96013064698904,54.0318265816428,60.0345452193244,1,6.00271863768163,58.0652766328679,62.6127904320369,0,4.54751379916901,56.6238406115225,61.5156329888526,1,4.89179237733009,55.9091534966136,61.2051110140752,1,5.29595751746159,55.4923057638387,60.7312521641364,1,5.23894640029766,55.5005415336031,60.6268488368415,1,5.12630730323842,55.2574636809037,60.6957129290461,1,5.43824924814243,70
"272",72,10,0,55.8615762485943,60.1306299902679,1,4.26905374167353,55.5210982837079,59.8404293540203,1,4.31933107031237,58.0752448518369,61.5687068257471,0,3.49346197391021,57.2588698861121,60.8490444950436,1,3.59017460893155,56.7991315022123,60.5105494196332,1,3.71141791742088,56.7274289180226,60.1796969305005,1,3.45226801247796,56.6143085582189,60.3769393990529,1,3.76263084083401,56.3613422658603,60.3593121732109,1,3.99796990735059,70
"273",73,10,0,54.161621431861,59.5960232528708,1,5.43440182100976,54.4751696311892,60.3323290291404,1,5.85715939795119,58.3235698043947,63.7876646213165,0,5.46409481692178,56.5256304961392,62.2191085356891,1,5.69347803954991,55.6020919367362,61.3067995006965,1,5.70470756396023,55.0768840154357,61.4177177940615,1,6.34083377862581,54.6685767004465,61.1390506134162,1,6.4704739129697,54.6853598996055,60.748982975817,1,6.06362307621146,70
"274",74,10,0,54.4536703727283,62.847345382937,1,8.39367501020874,55.4540713204756,63.8674104853208,1,8.41333916484516,61.1781326069294,67.8719505082476,0,6.69381790131817,58.6340698167862,66.2818916809675,0,7.64782186418136,57.6539436360793,65.9679981215473,1,8.31405448546796,56.8914549332972,64.9950614279535,1,8.10360649465633,56.4258315620955,64.6674391520428,1,8.24160758994731,56.3640942817816,65.0854390735644,1,8.72134479178276,70
"275",75,10,0,54.7124347908706,63.3694342549874,1,8.65699946411682,53.6321002473398,62.6862631691373,1,9.05416292179754,60.1300396071323,65.9297521853,0,5.79971257816771,58.1293685711711,64.5693614101709,0,6.43999283899972,57.7999809600751,64.1423520972932,1,6.34237113721812,56.9294870566256,63.9041174552925,1,6.97463039866687,56.8361658622328,63.7324667686008,1,6.89630090636804,56.8180925636018,63.15788064737,1,6.33978808376821,70
"276",76,10,0,55.5425875591614,60.74095298537,1,5.19836542620858,55.9490832311686,61.2571740092907,1,5.30809077812212,59.1539967443351,64.5189861706898,0,5.3649894263547,57.5670070970257,63.4669047249082,1,5.89989762788245,56.4894234033688,62.6877058213169,1,6.19828241794805,56.0308994223591,62.2742660445434,1,6.24336662218434,55.9703529693125,62.2836448545023,1,6.3132918851898,55.8769747465239,61.9216593911554,1,6.04468464463155,70
"277",77,10,0,54.8256727052255,60.1716737404981,1,5.34600103527261,54.8434966311482,60.0412859432076,1,5.19778931205938,58.239993759703,62.8163883290211,0,4.57639456931811,56.7211902686359,61.5032051170547,1,4.7820148484188,55.9672461001154,60.9434372895699,1,4.97619118945448,55.7786927637038,60.9132813834647,1,5.1345886197609,55.4143811871553,60.8303766236193,1,5.41599543646395,55.6009811577,60.5505871564212,1,4.94960599872113,70
"278",78,10,0,58.0076015669659,64.9725919476364,0,6.96499038067049,58.4071944611577,65.4409459936636,0,7.03375153250586,62.2242669654129,68.188164219646,0,5.9638972542331,60.5258949606468,67.3310044754349,0,6.80510951478808,60.0225705991012,67.3728965666063,0,7.35032596750508,59.0567724108394,66.5524002324282,0,7.4956278215888,59.304752989786,66.083954963362,0,6.77920197357602,58.9911696766447,66.3034824462072,0,7.31231276956252,70
"279",79,10,0,57.2749040294523,63.5055922830996,1,6.23068825364724,56.8010810377826,62.8183573760884,1,6.01727633830581,60.4045083151771,64.7487188052462,0,4.34421049006905,59.4436381716346,63.9013607348691,0,4.45772256323449,58.8562091433327,63.463646491987,0,4.60743734865432,58.8075366233876,63.6273885808364,0,4.81985195744878,58.3668725657167,63.3495100168714,0,4.9826374511547,58.3512301385266,63.0785639406711,0,4.72733380214448,70
"280",80,10,0,55.5691404739552,62.8888160937193,1,7.31967561976408,55.5708914070007,63.237453734171,1,7.6665623271703,60.5244650211144,66.2816042023888,0,5.7571391812744,58.5625287796073,64.9054807362696,0,6.34295195666228,57.428558723264,64.3276268683763,1,6.89906814511239,57.2573352443384,64.1604948926838,1,6.90315964834537,57.0692847584408,63.9992677325814,1,6.92998297414056,56.690577684453,63.2660420051434,1,6.57546432069046,70
"281",81,10,0,56.4647002187832,59.2517976940972,1,2.78709747531403,56.3708654509225,59.2825980113828,1,2.91173256046031,57.5140868601904,60.7130737694109,1,3.19898690922057,56.9892554822925,60.0293566397106,1,3.04010115741816,56.6751918797173,59.8503531772392,1,3.17516129752195,56.6301651406967,59.8069028307142,1,3.17673769001743,56.4132356979378,59.6998435464455,1,3.28660784850771,56.4432842816582,59.567317676467,1,3.12403339480881,70
"282",82,10,0,58.4767122439277,62.8003732263578,0,4.32366098243011,58.0383265218707,62.6370006717292,0,4.59867414985852,60.3431287620335,64.2115317725922,0,3.86840301055877,59.4938194891288,63.4793355460176,0,3.98551605688881,58.9646087759946,63.2842998291194,0,4.31969105312471,58.985007073338,63.1782702070441,0,4.19326313370608,58.7427595876265,63.1185634681714,0,4.37580388054492,58.8637433823663,63.0025567136304,0,4.13881333126407,70
"283",83,10,0,52.9459515180125,58.2023198425277,1,5.25636832451515,53.6687953610742,59.206987159624,1,5.53819179854982,57.1171516442232,62.2573755973389,1,5.1402239531157,55.2358710463103,60.7630623928583,1,5.52719134654799,54.6303096633392,60.0251873694261,1,5.39487770608691,54.1161939896813,59.9060553793522,1,5.78986138967088,53.5934373258541,59.5814143412089,1,5.98797701535475,53.5740165890595,59.4096733974158,1,5.83565680835632,70
"284",84,10,0,53.689087131801,61.4917692892747,1,7.80268215747375,52.0367664399127,60.6246037264692,1,8.58783728655647,65.353184818628,73.707098637493,0,8.35391381886502,63.4833690036028,75.7788461525659,0,12.2954771489631,61.6229783512221,78.9923695580646,0,17.3693912068425,60.4865847804852,77.3481445505441,0,16.8615597700589,57.7283502838904,77.2561467561455,1,19.5277964722552,59.3313612982075,77.4861843998509,0,18.1548231016434,70
"285",85,10,0,52.7066989673579,58.8227946412522,1,6.11609567389434,52.5062755531169,58.32352450114,1,5.81724894802313,56.7955712001537,61.3707632916478,1,4.57519209149412,55.1439162671603,60.1379658742638,1,4.99404960710351,54.525563660081,59.7119636793349,1,5.18640001925383,54.4645604194717,59.3546061599264,1,4.89004574045477,53.9597040187073,59.2628173375328,1,5.30311331882542,54.0489478817271,58.8782385924502,1,4.82929071072314,70
