"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","median.posterior.mu","lb.bayes.sdprior20","ub.bayes.sdprior20","width.bayes.sdprior20","cover.bayes.sdprior20","median.posterior.sig","median.posterior.gam"
"194",94,10,-0.5,63.8245209904401,83.0538982621427,1,19.2293772717026,64.7080884947381,83.2810139360209,1,18.5729254412828,69.6091222628536,64.4849561326427,76.3751504005112,11.8901942678684,1,10.2400881215914,0.589263534907642
"195",95,10,-0.5,57.1496729375157,72.4034791264081,1,15.2538061888924,56.4730843100515,72.0796598138579,1,15.6065755038064,69.8794612018134,62.2622246834329,79.0322576013301,16.7700329178972,1,12.3049041618422,0.522416757258581
"196",96,10,-0.5,66.1280559355882,81.0012956846866,1,14.8732397490984,64.6147089312397,79.6666390840789,1,15.0519301528391,69.4626260017556,63.4719353788511,79.9065236466714,16.4345882678203,1,10.4536901945141,0.579292165048186
"197",97,10,-0.5,59.906454077032,76.6667128257353,1,16.7602587487033,59.8763032562859,75.8814674685686,1,16.0051642122827,69.669371582913,61.0512543679695,76.625025813485,15.5737714455155,1,11.4677442481889,0.487870197834606
"198",98,10,-0.5,58.0097127344017,78.5591209445991,1,20.5494082101974,54.4403880343101,77.5121773648354,1,23.0717893305253,70.0591493346245,62.1987680188086,77.6078874817232,15.4091194629146,1,12.4142237740297,0.524975582962444
"199",99,10,-0.5,58.8579972088355,81.8080946326335,1,22.950097423798,60.5671743535594,83.0183378502846,1,22.4511634967253,72.3120038333614,64.1906297092994,82.5925467902785,18.4019170809791,1,15.8791994746033,0.506460331133119
"200",100,10,-0.5,58.157174529078,75.5907374711059,1,17.4335629420279,58.7162010705632,75.2816656493681,1,16.5654645788049,71.0346462718201,60.0707374125288,83.7974596316075,23.7267222190788,1,18.503203343047,0.378257749148086
"201",1,10,0.5,58.2442602324429,76.6031692579806,1,18.3589090255377,60.5084469296302,79.8734959855742,1,19.365049055944,69.9848164378124,61.039146412585,78.4820924140907,17.4429460015057,1,12.0335989427425,0.457710429543291
"202",2,10,0.5,60.8725282838529,78.0815827433854,1,17.2090544595325,63.8365414432611,83.2615543885539,1,19.4250129452929,70.0826281060379,63.5194965551382,77.7860612359797,14.2665646808415,1,11.3924995531046,0.525405149983364
"203",3,10,0.5,58.425045745932,82.5963935354397,1,24.1713477895077,59.9303230437248,85.8863547964745,1,25.9560317527497,69.4792104729664,63.3210176645102,76.8438919054409,13.5228742409307,1,10.6529105667935,0.534107960618088
"204",4,10,0.5,62.1329937688347,79.789846089772,1,17.6568523209373,63.7237837279789,81.3761683842254,1,17.6523846562464,71.7642734212678,63.7477014081784,80.9486428075262,17.2009413993478,1,16.022532654069,0.561779909606025
"205",5,10,0.5,59.7916651837688,72.6376170127663,1,12.8459518289975,59.7980286586848,72.3915236719326,1,12.5934950132478,70.0424742142942,62.0257938387746,79.3936809492108,17.3678871104362,1,14.7921131892898,0.431710290898191
