,trial,mean1,mean2,median.sampsmu1,lb.mu1,ub.mu1,width.mu1,cover.mu1,median.samps.mu2,lb.mu2,ub.mu2,width.mu2,cover.mu2,perc.correct,lb.tdist,ub.tdist,width.tdist,cover.tdist.mean1,cover.tdist.mean2,lb.bca.exp,ub.bca.exp,width.bca.exp,cover.bca.exp.mean1,cover.bca.exp.mean2
155,55,45,55,47.62836285,41.80788451,54.42551676,12.61763225,1,68.48990469,61.74036228,75.68369688,13.9433346,0,0.56,47.31360571,58.31371615,11.00011044,0,1,47.11245872,58.1725989,11.06014018,0,1
156,56,45,55,47.39574441,41.52093128,54.04468612,12.52375484,1,64.79290369,58.07652334,71.42536934,13.348846,0,0.6,46.38643406,56.48609539,10.09966133,0,1,46.59013774,56.00448177,9.414344026,0,1
157,57,45,55,47.72736682,41.79092386,53.60703515,11.81611128,1,57.42797515,51.1245548,72.6252485,21.5006937,1,0.76,43.23119988,52.84223514,9.611035264,1,0,42.33575868,51.98528164,9.649522962,1,0
158,58,45,55,45.64083283,39.42946013,52.62549988,13.19603975,1,63.02246523,56.2407959,68.37266954,12.13187364,0,0.64,43.72254312,55.03782976,11.31528664,1,1,43.12126129,54.825478,11.70421671,1,0
159,59,45,55,48.02716265,41.5199793,56.03224844,14.51226914,1,66.86072899,61.66065049,71.26201136,9.601360869,0,0.72,49.48486882,60.91623013,11.43136131,0,1,49.07466972,60.95195057,11.87728086,0,1
160,60,45,55,46.08312339,41.52881255,51.34227923,9.81346668,1,66.96585478,60.26538528,74.28251064,14.01712536,0,0.64,45.87324418,56.13007809,10.25683391,0,1,45.99287123,56.29574923,10.302878,0,1
161,61,45,55,46.06111636,40.60761687,52.81231796,12.20470109,1,70.84494586,60.01641629,82.74740917,22.73099288,0,0.72,43.89785994,54.80457025,10.90671031,1,0,43.89283051,55.00759297,11.11476246,1,0
162,62,45,55,45.30392709,38.91912061,50.63667524,11.71755463,1,55.01854838,48.77170513,62.19577195,13.42406682,1,0.72,40.76451963,49.46565616,8.701136531,1,0,40.78133694,49.63757937,8.856242431,1,0
163,63,45,55,49.0512184,43.15070763,55.13280568,11.98209805,1,59.2296565,54.16962095,64.59318472,10.42356377,1,0.76,46.95600844,55.89170244,8.935693996,0,1,46.91838776,55.73861662,8.820228861,0,1
164,64,45,55,46.1718748,38.62533053,52.14721695,13.52188642,1,67.76088584,60.91000103,74.95818011,14.04817908,0,0.68,44.92428648,56.76532838,11.84104189,1,1,45.30172123,57.41139335,12.10967212,1,1
165,65,45,55,51.43238682,46.68546635,56.36346833,9.678001979,0,67.01634861,59.25124921,78.26408208,19.01283288,0,0.56,50.96831172,59.07305887,8.104747156,0,1,50.7215843,58.85095531,8.129371008,0,1
166,66,45,55,48.09025726,42.35606258,54.12952243,11.77345985,1,74.23148769,67.97892404,80.38851504,12.40959099,0,0.36,50.35719246,63.29101519,12.93382273,0,1,50.6345379,63.30947478,12.67493688,0,1
167,67,45,55,48.71416051,43.46389237,54.72312544,11.25923307,1,62.45996197,56.15239606,69.22882156,13.07642551,0,0.72,47.12133957,55.25184894,8.130509364,0,1,47.69372112,55.61231544,7.91859432,0,1
168,68,45,55,49.96061454,44.21959811,55.79450253,11.57490442,1,65.4289921,59.38495708,71.39208373,12.00712665,0,0.52,49.88793912,59.28203037,9.394091246,0,1,49.88358009,59.26089828,9.377318193,0,1
169,69,45,55,45.01350931,39.7860335,50.53177689,10.74574339,1,67.28727374,59.55534538,82.3989927,22.84364732,0,0.68,42.94513593,53.26735233,10.3222164,1,0,42.95916238,53.71225502,10.75309264,1,0
170,70,45,55,45.47239657,38.78289252,52.36811642,13.5852239,1,64.5474611,59.51695024,69.44736064,9.930410399,0,0.76,44.11658102,55.9913299,11.87474888,1,1,43.98159859,55.95272096,11.97112237,1,1
171,71,45,55,44.89506772,39.24224621,52.90493785,13.66269164,1,65.72747682,58.32481417,80.74548476,22.4206706,0,0.76,42.83971372,53.91079958,11.07108585,1,0,43.13750867,53.60931523,10.47180656,1,0
172,72,45,55,49.08195918,43.04903157,56.28271682,13.23368524,1,69.33072534,60.82331456,77.08031004,16.25699548,0,0.72,47.79372352,59.43364298,11.63991946,0,1,47.39496875,59.38030922,11.98534048,0,1
173,73,45,55,41.89797922,36.16955165,49.24324798,13.07369634,1,69.12252784,59.6669724,87.35471656,27.68774416,0,0.68,36.83046095,49.0715883,12.24112735,1,0,35.99122781,49.03457758,13.04334977,1,0
174,74,45,55,43.49515023,37.71654433,50.83175035,13.11520602,1,67.95204667,60.2051876,76.14715972,15.94197212,0,0.64,41.31199755,53.70816781,12.39617026,1,0,41.55570735,53.46275621,11.90704886,1,0
175,75,45,55,45.60564347,39.50572971,52.08421603,12.57848632,1,68.08386049,62.37552207,74.77232751,12.39680545,0,0.68,45.20018553,57.43513111,12.23494558,0,1,45.5568631,57.99591138,12.43904828,0,1
176,76,45,55,45.44579379,40.13874951,50.87970591,10.74095641,1,70.26337387,62.72115183,78.19844674,15.4772949,0,0.76,43.87898882,55.13571381,11.25672499,1,1,44.23700253,55.82768458,11.59068204,1,1
177,77,45,55,46.55467758,41.55225286,51.9558703,10.40361743,1,68.26627514,59.94761228,81.1624751,21.21486282,0,0.8,45.88075909,56.26077625,10.38001716,0,1,45.98144176,56.47755415,10.49611239,0,1
178,78,45,55,43.29332842,39.1843727,48.75445139,9.570078697,1,69.73278034,57.29989044,80.53795492,23.23806448,0,0.68,40.28294368,49.89779949,9.614855808,1,0,40.16784029,50.18662671,10.01878642,1,0
179,79,45,55,41.7229511,36.33431922,46.57745179,10.24313257,1,61.92828111,50.1151981,71.76570669,21.65050859,1,0.64,36.35025782,45.97598791,9.62573009,1,0,36.50626543,45.81911416,9.312848729,1,0
180,80,45,55,49.52296327,44.25648759,54.45092088,10.19443329,1,59.7971232,54.55597899,65.61337487,11.05739588,1,0.8,47.8647449,55.8654139,8.000669008,0,1,47.24517245,55.61216471,8.366992259,0,1
181,81,45,55,44.20979049,38.87476621,50.16166751,11.2869013,1,60.05626349,51.40231726,68.7034089,17.30109164,1,0.64,40.13023289,49.91092106,9.780688178,1,0,40.31351619,49.82394952,9.51043333,1,0
182,82,45,55,45.75771996,39.55209187,51.32233473,11.77024286,1,69.39191308,61.13481163,77.84100061,16.70618898,0,0.56,43.62480046,55.31788812,11.69308766,1,1,44.0048652,55.32453467,11.31966947,1,1
183,83,45,55,46.8938476,42.03324351,51.88174037,9.848496856,1,65.93289082,56.964115,79.48998816,22.52587316,0,0.64,45.05376902,54.76119068,9.707421666,0,0,45.42592525,55.74311445,10.3171892,0,1
184,84,45,55,49.55196935,43.50367474,55.11502553,11.61135079,1,64.3524826,56.93191763,71.1145103,14.18259266,0,0.72,47.84626769,56.52176468,8.675496994,0,1,47.96251798,56.85769057,8.895172594,0,1
185,85,45,55,43.62839795,38.8284867,48.77152009,9.943033395,1,78.49038474,66.59135301,87.36762575,20.77627274,0,0.72,40.10011657,51.85589122,11.75577465,1,0,40.08112043,52.13102232,12.0499019,1,0
186,86,45,55,45.58332597,39.74466643,51.74487346,12.00020703,1,64.95806069,54.87340763,79.38371052,24.51030289,1,0.64,42.91350341,52.60411312,9.690609708,1,0,42.54269193,52.40051111,9.857819177,1,0
187,87,45,55,49.08928763,43.60163681,53.87995265,10.27831584,1,57.96055904,52.87259711,63.12749184,10.25489473,1,0.56,47.14514118,54.99469714,7.849555962,0,0,46.18840055,54.41330276,8.224902208,0,0
188,88,45,55,43.85102511,38.15893019,49.78946132,11.63053113,1,74.04437253,64.52260343,88.87289697,24.35029354,0,0.76,39.4613079,51.15438299,11.69307509,1,0,39.18826832,51.1402113,11.95194297,1,0
189,89,45,55,45.21862621,39.27193498,52.80006052,13.52812554,1,60.97911841,54.85627743,66.80966468,11.95338725,1,0.64,42.11059811,53.41755123,11.30695313,1,0,41.16244296,52.72503768,11.56259472,1,0
190,90,45,55,47.37800669,42.69179452,52.45012671,9.758332192,1,71.99865586,65.13220346,77.94461604,12.81241258,0,0.6,47.97510462,58.84556436,10.87045975,0,1,48.14575904,59.168528,11.02276896,0,1
191,91,45,55,43.75379066,37.61399424,49.82116541,12.20717117,1,69.95174985,62.58341892,80.88601832,18.3025994,0,0.68,39.8941654,52.60544548,12.71128008,1,0,39.74907784,52.72044663,12.97136878,1,0
192,92,45,55,43.54243333,38.9301442,49.76334453,10.83320033,1,71.06860524,64.54523522,76.89001318,12.34477796,0,0.68,43.72521642,55.87333267,12.14811625,1,1,44.33511791,57.08973305,12.75461514,1,1
193,93,45,55,45.97239065,39.30411192,51.9485064,12.64439447,1,69.38067324,60.42331874,77.39252529,16.96920655,0,0.68,44.47771939,56.12686137,11.64914198,1,1,44.49447705,56.16607833,11.67160128,1,1
194,94,45,55,48.51211417,42.75740004,54.6817973,11.92439726,1,64.41252104,56.38951358,74.43043277,18.04091919,0,0.56,46.96517201,56.22790232,9.26273031,0,1,46.66722054,56.05435859,9.387138057,0,1
195,95,45,55,49.13363125,42.26619549,54.90667215,12.64047666,1,66.40048515,58.88266207,72.43827456,13.5556125,0,0.64,49.41829565,59.55156832,10.13327267,0,1,49.07988326,59.39751784,10.31763458,0,1
196,96,45,55,46.74970527,41.20862228,52.96670648,11.7580842,1,61.25231879,53.69223003,75.58531674,21.89308671,1,0.88,43.70725343,52.63113333,8.923879899,1,0,43.71397006,52.66336135,8.949391292,1,0
197,97,45,55,47.62433564,40.59732095,54.73188942,14.13456847,1,62.4192752,55.54201934,68.77484137,13.23282203,0,0.64,45.2619944,56.0536622,10.7916678,0,1,45.08597056,56.02715364,10.94118307,0,1
198,98,45,55,42.71136459,37.13258537,48.15938545,11.02680007,1,64.41808613,58.59412853,70.11289514,11.51876661,0,0.84,39.97946647,50.65941255,10.67994608,1,0,40.44401167,51.60836517,11.1643535,1,0
199,99,45,55,45.90575732,40.36425701,51.31496816,10.95071115,1,64.36184822,57.10755239,72.77617832,15.66862593,0,0.8,43.38479336,53.19972535,9.814931989,1,0,43.60483785,53.88300895,10.27817109,1,0
200,100,45,55,50.81387959,44.70293596,55.83702975,11.13409379,1,63.66193052,57.7390075,70.36073057,12.62172306,0,0.52,49.62852616,58.35733004,8.728803881,0,1,49.39806377,58.07214073,8.67407696,0,1
201,1,25,75,33.93376214,28.44479473,40.79874031,12.35394558,0,81.54575006,76.90273432,87.0828829,10.18014859,0,1,42.44410765,68.2045609,25.76045324,0,0,41.6595494,68.11143042,26.45188101,0,0
202,2,25,75,39.07333638,33.11863048,45.12281711,12.00418663,0,79.03026375,73.16892472,85.42583132,12.2569066,1,0.96,35.73674097,57.72126818,21.9845272,0,0,36.32696276,58.9996527,22.67268994,0,0
203,3,25,75,39.82738576,34.16180786,48.5783479,14.41654004,0,79.4356366,73.84124808,85.51399354,11.67274546,1,1,45.38351712,67.06152901,21.67801189,0,0,44.1752395,66.48927431,22.31403482,0,0
204,4,25,75,39.14689338,33.53860577,44.20467273,10.66606696,0,82.6763356,75.22031759,89.90231716,14.68199958,0,0.84,42.31839294,66.15005162,23.83165868,0,0,42.55812825,66.64824681,24.09011856,0,0
205,5,25,75,41.56936009,34.61106637,52.04771917,17.4366528,0,79.91400935,73.3128797,86.54010951,13.22722981,1,1,45.70391352,67.21601234,21.51209882,0,0,45.07796952,66.30586707,21.22789755,0,0
206,6,25,75,38.49559929,32.4076835,44.75453532,12.34685182,0,80.53266489,74.85865957,86.04566863,11.18700906,0,0.88,38.75826617,61.870919,23.11265283,0,0,39.74624197,62.75229238,23.00605041,0,0
207,7,25,75,31.56030675,28.10002598,34.96155072,6.861524733,0,79.09249046,72.0038106,85.24067038,13.23685977,1,1,31.66154815,51.90982759,20.24827945,0,0,32.80365518,53.003564,20.19990882,0,0
208,8,25,75,42.47676876,35.8499513,49.51437113,13.66441984,0,78.3125134,72.81498935,84.22945833,11.41446898,1,0.96,41.44882107,63.8044096,22.35558853,0,0,40.72873468,62.93734397,22.20860929,0,0
209,9,25,75,42.29078054,32.49800568,50.36018419,17.86217851,0,79.79098599,72.27796956,85.88052878,13.60255922,1,0.84,34.03892531,58.35843407,24.31950876,0,0,35.31037039,59.0127315,23.7023611,0,0
210,10,25,75,40.90415599,34.43436981,50.21424661,15.7798768,0,74.84150241,70.44531555,79.78579137,9.340475816,1,0.92,41.49234995,59.73951885,18.2471689,0,0,42.83875141,60.66947313,17.83072172,0,0
