,trial,N.pop,skew,lb.tdist,ub.tdist,cover.tdist,width.tdist,lb.bca.exp,ub.bca.exp,cover.bca.exp,width.bca.exp,lb.bayes.sdprior5,ub.bayes.sdprior5,cover.bayes.sdprior5,width.bayes.sdprior5,lb.bayes.sdprior10,ub.bayes.sdprior10,cover.bayes.sdprior10,width.bayes.sdprior10,lb.bayes.sdprior15,ub.bayes.sdprior15,cover.bayes.sdprior15,width.bayes.sdprior15,lb.bayes.sdprior20,ub.bayes.sdprior20,cover.bayes.sdprior20,width.bayes.sdprior20,lb.bayes.sdprior25,ub.bayes.sdprior25,cover.bayes.sdprior25,width.bayes.sdprior25,lb.bayes.sdprior30,ub.bayes.sdprior30,cover.bayes.sdprior30,width.bayes.sdprior30,muprior
208,8,10,0,58.2280006,80.70032032,1,22.47231972,59.68529825,82.11938096,1,22.43408271,66.41392939,74.5821824,1,8.168253016,65.34622879,76.10506295,1,10.75883416,63.54831395,77.25225031,1,13.70393635,63.58090475,79.6148607,1,16.03395595,62.32837229,78.68642698,1,16.35805469,63.09514555,83.06938091,1,19.97423536,70
209,9,10,0,60.39632901,75.89353733,1,15.49720832,61.41405779,76.23637852,1,14.82232072,65.73619849,73.36058101,1,7.624382519,63.73948035,74.53209734,1,10.79261699,63.20050644,74.22540726,1,11.02490083,63.4896039,75.43629863,1,11.94669473,62.79522035,75.57391719,1,12.77869685,62.00277821,76.40988363,1,14.40710542,70
210,10,10,0,59.16406736,78.31166678,1,19.14759942,49.00435509,74.45949841,1,25.45514333,66.10774372,73.46793732,1,7.3601936,64.94867353,73.91013216,1,8.961458633,64.42779272,73.95998729,1,9.532194569,64.50471498,74.12338733,1,9.618672343,63.53729123,74.187878,1,10.65058676,63.31938774,74.11815083,1,10.7987631,70
211,11,10,0,55.69335457,80.14781228,1,24.45445772,56.57321208,79.48616232,1,22.91295024,65.1113516,74.49252434,1,9.381172732,65.06211538,77.4729917,1,12.41087631,62.9185624,76.27129291,1,13.35273051,63.5402257,78.96334427,1,15.42311858,63.06049507,79.18514763,1,16.12465256,61.36118025,79.75805932,1,18.39687907,70
212,12,10,0,59.23215887,84.16658484,1,24.93442597,60.3717024,85.05179597,1,24.68009357,66.02518191,74.35153703,1,8.326355123,64.62221,76.19854146,1,11.57633146,64.27493293,77.89226888,1,13.61733595,60.36325924,77.86793514,1,17.5046759,60.40806671,78.92086073,1,18.51279402,56.37991192,81.20865816,1,24.82874625,70
213,13,10,0,60.8039869,79.79308386,1,18.98909695,59.48522687,79.00441786,1,19.51919098,66.43734754,73.79823376,1,7.360886224,65.80208368,74.75405138,1,8.951967704,64.58974093,76.03869226,1,11.44895133,64.07783761,76.15038275,1,12.07254514,63.86309853,76.94203777,1,13.07893924,64.26064192,78.09669473,1,13.83605282,70
214,14,10,0,54.84665563,74.51738057,1,19.67072494,54.80757601,74.03471853,1,19.22714252,65.05956903,72.88407889,1,7.824509865,64.05531121,74.19577002,1,10.14045881,61.14361303,74.32152091,1,13.17790788,60.79964184,74.43022876,1,13.63058692,60.80123615,74.88259519,1,14.08135904,57.77239634,73.27328938,1,15.50089304,70
215,15,10,0,69.17602509,79.70393888,0,10.52791379,69.27977845,80.027984,0,10.74820555,68.72445177,74.7246821,0,6.000230326,68.36490153,76.13207293,0,7.767171399,68.54770811,77.80420758,0,9.256499467,69.06364927,77.47439537,0,8.410746098,69.27815945,77.74156197,0,8.463402524,69.35221748,78.46674202,0,9.114524537,70
216,16,10,0,53.30468288,72.39273953,1,19.08805666,47.74694183,69.73826193,1,21.9913201,63.50165696,71.2176559,1,7.715998945,61.86883053,71.73763567,1,9.86880514,61.25686586,71.05244135,1,9.795575488,60.3174495,71.56230193,1,11.24485243,59.82967796,70.76255063,1,10.93287267,57.92243386,70.68689775,1,12.76446389,70
217,17,10,0,52.86112894,73.83332604,1,20.97219709,51.07373015,72.29030251,1,21.21657235,64.72238889,72.74563169,1,8.023242794,63.03201584,73.3427178,1,10.31070196,61.25419259,72.96250751,1,11.70831492,58.54055714,73.23815799,1,14.69760084,59.60587358,73.7621035,1,14.15622992,58.26700617,74.75598944,1,16.48898327,70
218,18,10,0,64.66945561,79.51483126,1,14.84537565,64.71074375,79.37855284,1,14.6678091,67.00873921,74.12225294,1,7.11351373,66.6183475,75.52605648,1,8.907708978,65.45300158,76.38171392,1,10.92871234,66.4978347,76.7007832,1,10.2029485,65.46909988,76.45628659,1,10.98718671,66.04447921,77.96213841,1,11.9176592,70
219,19,10,0,58.03588058,79.0733408,1,21.03746023,57.7247948,79.90746773,1,22.18267293,65.5132347,74.04325516,1,8.530020462,65.00426764,75.76889676,1,10.76462912,62.97156355,75.39196538,1,12.42040184,62.71992808,77.81991729,1,15.09998921,63.54818579,77.16360939,1,13.6154236,61.76145564,78.24318836,1,16.48173272,70
220,20,10,0,62.04596048,81.09009486,1,19.04413438,60.10729417,79.1155046,1,19.00821044,66.47204636,73.98018428,1,7.50813792,65.44446648,75.2250308,1,9.780564321,65.16915495,76.86721577,1,11.69806082,66.02733533,76.63891427,1,10.61157894,65.17757799,77.30131321,1,12.12373522,65.40751174,77.41450262,1,12.00699089,70
221,21,10,0,56.49004285,76.31920299,1,19.82916014,56.31133431,75.09707786,1,18.78574355,65.67916254,73.27505564,1,7.595893096,64.34885273,74.01733331,1,9.668480573,62.8091039,73.81241765,1,11.00331376,62.67195784,75.41888197,1,12.74692413,61.75794628,76.07799179,1,14.32004552,61.40212235,74.85387182,1,13.45174947,70
222,22,10,0,57.46102725,70.76883585,1,13.30780859,56.76170108,70.22161725,1,13.45991617,63.74145782,70.80316947,1,7.061711651,63.06724819,70.77857937,1,7.711331181,61.58309753,69.75599634,1,8.172898817,60.81511339,69.78823722,1,8.973123827,60.6079122,69.99576915,1,9.387856951,60.45964686,69.56865809,1,9.109011232,70
223,23,10,0,56.22453968,71.59309329,1,15.36855361,57.39513985,73.10211573,1,15.70697587,64.49413632,72.94441405,1,8.450277728,62.77611077,72.68473032,1,9.908619545,62.01460453,73.32825996,1,11.31365543,60.42022429,72.78487916,1,12.36465487,59.96421987,73.461304,1,13.49708412,59.70980116,71.63168544,1,11.92188428,70
