"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","lb.bayes.sdprior","ub.bayes.sdprior","cover.bayes.sdprior","width.bayes.sdprior"
"59",59,7,-0.9,56.7489890490207,86.0635453917248,1,29.314556342704,59.6377571452979,89.3746280199937,1,29.7368708746958,64.1122582870529,84.7294144086528,1,20.6171561215998
"60",60,7,-0.9,54.2393141178766,87.899931903043,1,33.6606177851664,52.1575910732383,86.1915386031564,1,34.0339475299181,62.7049714796582,86.9749739498812,1,24.270002470223
"61",61,7,-0.9,62.4904721097605,85.5311425655753,1,23.0406704558149,60.2618786930953,83.4761703433276,1,23.2142916502322,67.3309363091562,83.5974022497423,1,16.2664659405862
"62",62,7,-0.9,68.0595506146488,93.1761461727316,1,25.1165955580827,64.4377594701338,90.0324573014073,1,25.5946978312735,73.8017489952946,92.1599325623305,1,18.3581835670359
"63",63,7,-0.9,57.1246430153634,85.8088298094683,1,28.6841867941049,56.2558157485126,85.2997896656744,1,29.0439739171618,63.7111442759865,83.8883009294971,1,20.1771566535106
"64",64,7,-0.9,67.7986478276451,96.0105144355836,1,28.2118666079384,57.3239482345338,91.5591613449819,1,34.2352131104481,74.7278009850092,95.0665304035303,1,20.3387294185211
"65",65,7,-0.9,60.9948609137013,93.1565355246717,1,32.1616746109704,59.9859018989441,92.5228208470027,1,32.5369189480586,69.0776304161228,91.5566779196736,1,22.4790475035508
"66",66,7,-0.9,60.8480656885724,95.6830078967062,1,34.8349422081338,57.6820091558714,93.5797330600639,1,35.8977239041924,70.4386474154108,94.9856003076038,1,24.5469528921931
"67",67,7,-0.9,56.0625904758928,86.3035952978452,1,30.2410048219525,57.0263189999609,89.1247912460321,1,32.0984722460711,63.8957212266103,85.4352003013819,1,21.5394790747717
"68",68,7,-0.9,46.2481494065083,90.3164188330811,1,44.0682694265729,45.7554816401741,87.3439823155198,1,41.5885006753457,59.6137407475454,90.2012084763057,1,30.5874677287603
"69",69,7,-0.9,63.8625131566963,93.1849008963667,1,29.3223877396704,61.7818823101147,91.4742424543616,1,29.6923601442468,70.7083123999933,92.6688234905661,1,21.9605110905727
"70",70,7,-0.9,63.5478114627777,94.3023376019661,1,30.7545261391884,61.0620742701822,90.8642224566618,1,29.8021481864796,71.6756852976917,93.5106266962527,1,21.834941398561
