"","trial","mean1","mean2","median.sampsmu1","lb.mu1","ub.mu1","width.mu1","cover.mu1","median.samps.mu2","lb.mu2","ub.mu2","width.mu2","cover.mu2","perc.correct","lb.tdist","ub.tdist","width.tdist","cover.tdist.mean1","cover.tdist.mean2","lb.bca.exp","ub.bca.exp","width.bca.exp","cover.bca.exp.mean1","cover.bca.exp.mean2"
"304",4,30,70,43.9966816099518,37.3462386131911,50.1107169508808,12.7644783376897,0,75.6196432576901,66.954859507724,85.3068518293095,18.3519923215856,1,0.9,43.2507293079339,72.6645047718522,29.4137754639183,0,1,38.9776977897471,69.6247245865785,30.6470267968315,0,0
"305",5,30,70,42.478659993375,35.8110810353831,49.1639675175863,13.3528864822032,0,80.305745848528,73.6084519749546,87.1280194179779,13.5195674430233,0,1,39.991424161185,77.9343208350064,37.9428966738214,0,1,37.7083611437897,77.1965408102546,39.4881796664648,0,1
"306",6,30,70,44.9813293085494,38.8405399911159,51.1715465024481,12.3310065113322,0,77.2994821379346,69.6927534946493,85.2812132465948,15.5884597519455,1,0.9,43.9994485847389,74.0213727263247,30.0219241415857,0,1,40.9353983764288,71.4151873150571,30.4797889386283,0,1
"307",7,30,70,37.4264328722817,31.665930019016,43.4772011961467,11.8112711771307,0,76.7928351499733,66.5033813675811,84.4822237132164,17.9788423456353,1,1,25.1917724911356,64.0698114403489,38.8780389492133,1,0,25.7694998836022,62.3255289899939,36.5560291063917,1,0
"308",8,30,70,42.2344684553621,34.3466044037136,48.1760405887552,13.8294361850416,0,78.712049638919,71.705110893052,85.838377496977,14.133266603925,0,1,38.9572884446352,75.4778170990681,36.5205286544329,0,1,37.0803373340338,73.0522085275287,35.971871193495,0,1
"309",9,30,70,44.4161264551275,37.3712620447587,50.6845619158256,13.3132998710669,0,77.4655429515967,67.9292837618267,84.7488155782681,16.8195318164414,1,0.9,41.5247167586928,73.615233302337,32.0905165436442,0,1,39.1550193719418,72.2819635550938,33.126944183152,0,1
"310",10,30,70,38.5960277655388,32.8204502610294,43.8242335694638,11.0037833084344,0,79.6263108301095,71.6528220373445,86.446204856254,14.7933828189095,0,0.9,22.494926183374,55.9542643461003,33.4593381627263,1,0,24.5243308975267,55.6867840500813,31.1624531525546,1,0
"311",11,30,70,45.1720184234107,38.5702826980166,51.2467317252221,12.6764490272055,0,79.0212118371049,70.013639288998,86.515819123724,16.5021798347261,0,0.9,37.8798875522391,69.226589414902,31.3467018626629,0,0,38.5597625621295,71.0231300693732,32.4633675072437,0,1
"312",12,30,70,37.6112979022067,31.0939912943443,43.9542194175061,12.8602281231619,0,76.5196204963152,67.8800314260306,84.4316093804391,16.5515779544085,1,0.8,25.7647290374936,63.5337510072462,37.7690219697526,1,0,23.2329468384843,62.0014076790759,38.7684608405916,1,0
"313",13,30,70,41.8601851247861,35.4242923624054,48.4541817256044,13.029889363199,0,77.0791023219907,68.9208756379616,85.3788996455202,16.4580240075585,1,0.9,35.5572584152274,71.1779370492894,35.620678634062,0,1,35.573392845409,70.8253325713675,35.2519397259585,0,1
"314",14,30,70,40.9577215035114,35.0440668174511,46.7616226646113,11.7175558471602,0,78.0819146012413,69.4508404331904,87.4490473081888,17.9982068749984,1,0.7,29.6639515470442,62.5251675499504,32.8612160029062,1,0,30.6200885937725,63.9522188828317,33.3321302890592,0,0
"315",15,30,70,41.8512621747786,36.0819846633598,47.0112782946781,10.9292936313183,0,77.1894837808951,68.5849289478503,86.2697021604343,17.684773212584,1,0.7,31.5001060625325,61.9002239569802,30.4001178944477,0,0,30.5823341230631,62.4570474944929,31.8747133714298,0,0
"316",16,30,70,39.3058154298992,33.7804072922744,44.6833732860739,10.9029659937995,0,77.3596609055727,69.5466555973026,85.4873476629878,15.9406920656852,1,1,28.5602717266496,61.1463228909775,32.5860511643279,1,0,29.9904185696231,62.7798976806091,32.7894791109859,1,0
"317",17,30,70,38.9109221905665,33.0649130556998,44.9956648588123,11.9307518031125,0,80.7130314533966,72.7919334445587,87.8939212148682,15.1019877703096,0,0.9,23.5765177310206,59.2583003365097,35.6817826054891,1,0,27.6390573192095,62.0913509240561,34.4522936048465,1,0
"318",18,30,70,36.9034348606298,31.0861425101905,42.1079236249812,11.0217811147908,0,80.3285295014417,73.5622169399077,87.1903977946108,13.6281808547031,0,1,26.1122849941407,71.7964990645025,45.6842140703618,1,1,24.9924676569136,71.8633768786818,46.8709092217681,1,1
"319",19,30,70,42.1529674383225,36.4761923100743,49.2676755137884,12.7914832037142,0,76.1683919209498,67.6279559424858,83.3935286732153,15.7655727307295,1,0.9,37.2914136073462,68.8794082997144,31.5879946923681,0,0,36.3712621328361,66.5305203209277,30.1592581880916,0,0
"320",20,30,70,40.6045526997833,34.5679905657267,45.8719866661489,11.3039961004222,0,81.1844879521252,74.9905943622591,88.318838987678,13.3282446254188,0,0.9,34.7017423785328,75.9398191352894,41.2380767567566,0,1,33.0938533150709,74.4492671211608,41.3554138060899,0,1
"321",21,30,70,36.2753867741934,30.795569460967,41.4885946234656,10.6930251624986,0,79.2566327657358,70.1495347471274,86.7895800788504,16.640045331723,0,0.8,21.5320427576868,61.1624847345093,39.6304419768225,1,0,23.1284708645736,63.7598579608594,40.6313870962858,1,0
"322",22,30,70,44.8935304505926,38.2274783140946,51.666242868963,13.4387645548683,0,76.8856067582872,69.280957145669,83.9365516179326,14.6555944722635,1,0.8,43.260330173035,75.2859710350626,32.0256408620276,0,1,40.0056053561498,72.9548100225703,32.9492046664205,0,1
"323",23,30,70,42.7815562967805,36.0123065502854,50.7326853391881,14.7203787889027,0,80.3093321947965,73.6869240243407,87.3392672982267,13.6523432738861,0,1,46.5601132817081,83.3248927734114,36.7647794917034,0,1,42.1535451779868,80.0590674821893,37.9055223042025,0,1
"324",24,30,70,41.629195915927,36.1208027036327,47.2132530946459,11.0924503910132,0,78.6494039816684,69.4303643934283,87.178893734556,17.7485293411277,1,0.6,29.1398194392844,57.3461578386806,28.2063383993963,1,0,27.2041474378976,56.2938090991022,29.0896616612046,1,0
"325",25,30,70,39.6999577996877,34.0443082121823,44.9214942936232,10.8771860814408,0,78.462332447946,70.6392389902472,85.2014764266888,14.5622374364417,0,0.9,26.5745299349322,56.8037105502982,30.229180615366,1,0,28.8233161663568,61.0553116584945,32.2319954921377,1,0
"326",26,30,70,36.9055634470715,31.3882352077282,42.3570042300181,10.9687690222899,0,80.5724699045578,73.4225155510846,88.1200508569542,14.6975353058696,0,0.9,24.4131499968013,68.1194028697671,43.7062528729658,1,0,25.727933062708,68.2776447424008,42.5497116796928,1,0
"327",27,30,70,41.8303959822336,35.2215391006424,47.1714759201982,11.9499368195557,0,77.1516001861789,68.5398925897475,84.2244055133568,15.6845129236093,1,1,30.8144767099565,59.0077536181513,28.1932769081948,0,0,32.9481580700074,60.2870854976744,27.338927427667,0,0
"328",28,30,70,44.6587060784823,38.5054013401965,51.3149496977793,12.8095483575827,0,76.0039854880161,69.3506350922187,84.5960244080493,15.2453893158306,1,1,45.6044639812175,76.3511342112433,30.7466702300258,0,1,42.2470199964204,73.583846501576,31.3368265051556,0,1
"329",29,30,70,41.8762456935948,34.7112545036526,48.1819366586,13.4706821549474,0,77.4550125837235,68.7225447309593,85.9914500954449,17.2689053644856,1,0.9,38.2393245159091,73.4447379162391,35.20541340033,0,1,32.976289100823,70.5628120784057,37.5865229775826,0,1
"330",30,30,70,46.1131609188894,38.90291511281,52.5253608035993,13.6224456907893,0,78.2911904903652,71.8516429586458,85.2008239929582,13.3491810343125,0,0.7,42.9314727963507,74.0859419893491,31.1544691929984,0,1,42.608716866248,73.0481440571018,30.4394271908538,0,1
"331",31,30,70,45.1739626124394,39.4189896488315,51.8604549543573,12.4414653055258,0,80.946970486216,74.3142187587349,87.1921532517304,12.8779344929955,0,0.8,38.6062758612972,73.2117336715127,34.6054578102156,0,1,40.8617964939266,75.7774790544712,34.9156825605446,0,1
"332",32,30,70,38.1976989675575,31.4980136786081,44.1382369556344,12.6402232770262,0,75.1280755014232,63.5802502961724,86.3050538491512,22.7248035529788,1,0.6,25.8710178923723,60.9620735044478,35.0910556120756,1,0,25.8895464257044,60.1837132726503,34.2941668469459,1,0
"333",33,30,70,43.5500121303109,36.5077612123094,48.9999020489715,12.4921408366622,0,78.0632737724516,68.3527547030353,86.6718863376502,18.3191316346149,1,0.9,35.3333024450824,66.1037984114753,30.7704959663929,0,0,36.5874932353099,65.8884887180557,29.3009954827458,0,0
"334",34,30,70,37.7081460188972,32.3719733489172,42.6102743621532,10.238301013236,0,79.314261293528,71.6649650891475,86.0955168887818,14.4305517996343,0,1,21.8912013363578,55.0278932619417,33.1366919255839,1,0,26.0863365045707,64.1799522722853,38.0936157677146,1,0
"335",35,30,70,46.0727038564777,38.1764337183908,52.3876733592124,14.2112396408216,0,74.5799530035991,65.7424352321619,86.3055472397402,20.5631120075782,1,0.6,37.2493192678133,59.4086228012397,22.1593035334263,0,0,36.7157774284777,59.8857209725977,23.16994354412,0,0
"336",36,30,70,41.245278095056,34.8350864965836,49.9452232320685,15.1101367354849,0,74.5999820380838,67.722043286887,81.3981481588703,13.6761048719833,1,1,44.3229615630598,77.1757089657779,32.8527474027181,0,1,38.0994623911641,72.5588725445156,34.4594101533515,0,1
"337",37,30,70,37.7471114250389,31.7432530062571,43.3266994471985,11.5834464409414,0,77.2440467621281,68.8114658735914,84.822115452324,16.0106495787326,1,0.9,25.588865510184,61.4229485953093,35.8340830851252,1,0,26.9317465662211,62.0880331873481,35.1562866211269,1,0
"338",38,30,70,41.9798873028916,35.3844739624488,47.8431279605575,12.4586539981087,0,76.4774090944884,67.3762978881981,84.328514773333,16.9522168851349,1,1,32.7964037151497,65.1732220175831,32.3768183024334,0,0,32.8804028520805,64.6360165399887,31.7556136879083,0,0
"339",39,30,70,44.4641035458706,38.5570384635309,50.1804298381739,11.623391374643,0,76.0494605318926,68.612024865564,84.4845254882804,15.8725006227164,1,0.9,38.8602918172831,68.4734010772841,29.613109260001,0,0,37.8883707561926,65.8172669693485,27.9288962131559,0,0
"340",40,30,70,43.1128692373062,35.6731424321542,50.05521125895,14.3820688267958,0,77.2439945795364,69.8214878116103,84.1630065582335,14.3415187466232,1,1,43.2291847325952,78.7148627566993,35.4856780241041,0,1,42.0353639245774,74.8986023154163,32.8632383908388,0,1
"341",41,30,70,45.2860680675879,37.4767434370934,51.8642300580423,14.387486620949,0,75.6362014341601,66.7291411869129,83.6189123100346,16.8897711231217,1,0.7,41.3212399143443,71.3126767915673,29.991436877223,0,1,29.8004343586729,67.8220147001665,38.0215803414937,1,0
"342",42,30,70,42.4606468827283,36.5126306185064,49.0042729285039,12.4916423099974,0,79.4588709416185,72.2160606092996,86.5512783473021,14.3352177380025,0,0.8,33.8557300555386,68.7560307883479,34.9003007328093,0,0,35.1282072078579,68.4687268285007,33.3405196206428,0,0
"343",43,30,70,42.4086472513744,36.3446999901222,48.0283129774166,11.6836129872944,0,77.7166816158228,69.7282085884303,85.2655704470688,15.5373618586385,1,1,35.4200827572701,71.010541126679,35.5904583694089,0,1,34.9436207773148,69.1225959453416,34.1789751680268,0,0
"344",44,30,70,40.2009691777488,34.3002515448135,46.0362139873846,11.7359624425711,0,77.5843568506808,69.304679171733,85.3246072465583,16.0199280748253,1,0.9,27.4852012249513,61.8937165491267,34.4085153241754,1,0,27.9916686680431,63.1315236706499,35.1398550026068,1,0
"345",45,30,70,36.8124477816732,31.6640233061926,41.9756719584088,10.3116486522162,0,80.3248722865516,72.9850428448751,87.2553411781972,14.2702983333221,0,0.9,19.2409632181784,57.6021517043296,38.3611884861511,1,0,22.4721525303254,61.4428906990153,38.97073816869,1,0
"346",46,30,70,48.6716133947654,41.9356910714136,55.752890827561,13.8171997561474,0,78.3899848095941,70.3631223076764,86.0508049979668,15.6876826902904,0,0.8,44.7474333654633,69.8837735723516,25.1363402068883,0,0,45.0140872161885,70.814343090675,25.8002558744865,0,1
"347",47,30,70,37.3284941241798,32.7440568210028,42.3151813293214,9.57112450831856,0,80.0486257105028,71.6454617840581,87.510163599598,15.86470181554,0,0.9,22.966107608173,62.4448671393012,39.4787595311282,1,0,24.682732092177,67.8601838308741,43.1774517386971,1,0
"348",48,30,70,40.7471744021345,34.5760549247711,47.2011306864927,12.6250757617216,0,81.2642632908491,73.8264780907146,88.3862721192077,14.5597940284931,0,0.8,30.9408721623807,70.3213077785973,39.3804356162166,0,1,32.1908312821978,73.9573659391224,41.7665346569246,0,1
"349",49,30,70,40.0510006169688,33.4963902535458,46.0469676271063,12.5505773735605,0,74.1988312683907,67.1398075666253,82.7153367140847,15.5755291474594,1,1,31.9226177541906,62.8547419223687,30.9321241681781,0,0,31.2550071406137,64.1424512119403,32.8874440713265,0,0
"350",50,30,70,42.1273472513618,35.7793935090588,48.1621851504503,12.3827916413915,0,78.9797036381676,71.2716469634569,85.545658478405,14.2740115149481,0,0.8,33.5637655414767,70.5691383812175,37.0053728397408,0,1,31.917358333496,69.602561607039,37.685203273543,0,0
"351",51,30,70,42.2080822799676,35.3497965468683,47.7152285421687,12.3654319953004,0,79.2490711693667,72.0472301379008,87.5857587370741,15.5385285991733,0,1,37.3000729577134,75.672639989581,38.3725670318676,0,1,34.7674340458339,75.3373372303213,40.5699031844874,0,1
"352",52,30,70,40.4253552890814,35.1872505080998,45.8543352070674,10.6670846989677,0,81.8566553124607,73.1475271657263,89.4344494433217,16.2869222775954,0,0.8,26.5343468903774,63.0269757106234,36.492628820246,1,0,30.0746196055055,68.7716243207407,38.6970047152352,0,0
"353",53,30,70,42.2647498992346,35.1080831177961,49.0807084469811,13.9726253291849,0,78.4140371372584,72.3090927928544,85.8293992223314,13.520306429477,0,1,43.0650159567325,80.2756844445551,37.2106684878226,0,1,38.4304292122256,78.1838784457163,39.7534492334907,0,1
"354",54,30,70,46.0131393817519,40.4007497242442,51.4580147391428,11.0572650148986,0,78.0276325966312,69.5574923518669,88.2516672465382,18.6941748946713,1,0.9,38.6769902675313,63.3456677579119,24.6686774903806,0,0,37.5519726838316,61.8340175671104,24.2820448832788,0,0
"355",55,30,70,44.9605372025162,38.5389338467989,51.3065544151949,12.767620568396,0,79.6422659317027,71.0028838044605,87.9844869262693,16.9816031218088,0,0.9,39.84520142902,74.0526852879799,34.2074838589599,0,1,38.7448678286622,73.2846256413349,34.5397578126727,0,1
"356",56,30,70,43.8149614498054,36.9339146229779,50.7987497565989,13.864835133621,0,74.5472285977398,68.4356490505341,83.2991072314117,14.8634581808775,1,1,43.1277479545077,73.2741343996916,30.1463864451839,0,1,39.6929426955784,69.7345965842595,30.0416538886811,0,0
"357",57,30,70,43.7410945604795,37.6722355298156,49.1281826500498,11.4559471202341,0,74.6624756945149,65.3543123367609,85.1656206129395,19.8113082761786,1,0.8,35.8613530339732,64.638384454084,28.7770314201108,0,0,33.3022136791838,62.913141181205,29.6109275020213,0,0
"358",58,30,70,40.127029577247,33.7495404381053,46.2102011442949,12.4606607061897,0,76.4906398991166,67.7581038918805,83.2835193962396,15.5254155043591,1,0.9,35.9304671829979,72.8360520129255,36.9055848299276,0,1,33.5992952785487,69.9934494187055,36.3941541401568,0,1
"359",59,30,70,43.2301273959465,37.8012783276661,48.0949115934458,10.2936332657797,0,77.3963001160199,68.5507238410685,85.9249767230891,17.3742528820207,1,0.9,32.9800472754678,62.8068631447587,29.8268158692909,0,0,35.8987040250433,64.9621653596881,29.0634613346448,0,0
"360",60,30,70,42.4223059462477,36.4411653430578,48.0105536600727,11.5693883170148,0,79.3586831516267,69.1573127841737,87.7130640652673,18.5557512810935,1,0.8,28.8519564181305,53.496018462743,24.6440620446126,1,0,26.7604900013907,51.7296169605896,24.9691269591989,1,0
"361",61,30,70,39.7451834309163,32.801486099437,46.1873725277666,13.3858864283296,0,79.3930490129306,72.357220487198,88.1983455813269,15.8411250941289,0,1,33.6059051121918,76.9616249702219,43.3557198580301,0,1,30.397627964012,75.8714324259626,45.4738044619507,0,1
"362",62,30,70,42.2390261304862,35.2536000800666,49.0874056628836,13.833805582817,0,71.864261602096,63.1035245802499,81.4576895862631,18.3541650060132,1,1,37.6487455051901,67.4790523396008,29.8303068344107,0,0,28.4932071365557,62.9383624819017,34.445155345346,1,0
"363",63,30,70,48.5022660927154,39.6992577354256,54.7676556912053,15.0683979557797,0,75.1494686537801,67.6549934529786,84.9244053691797,17.2694119162011,1,0.8,46.1590868072078,69.8318171897691,23.6727303825612,0,0,44.3993794205653,68.0533958157423,23.654016395177,0,0
"364",64,30,70,44.0896029145794,38.3487236763837,49.8533625403067,11.504638863923,0,78.676860365992,68.0016588006878,86.8158211927577,18.8141623920699,1,0.9,33.7515573724313,58.5726755246291,24.8211181521978,0,0,35.2425948437386,60.8445593497871,25.6019645060485,0,0
"365",65,30,70,37.963139427608,32.4027206302994,43.2267480017039,10.8240273714045,0,78.5867630364475,67.9842570740549,86.7471256488995,18.7628685748445,1,1,21.8654276463409,52.9040047173732,31.0385770710323,1,0,23.4751988979808,56.7181551445448,33.242956246564,1,0
"366",66,30,70,44.8654506220339,38.4059610198011,50.2104773888092,11.804516369008,0,80.2827523489048,73.013589774608,88.0214478919362,15.0078581173283,0,0.9,35.4030673332669,67.6806729833368,32.2776056500699,0,0,38.4369920192224,70.6184278827024,32.18143586348,0,1
"367",67,30,70,39.9289374698773,35.1701093798633,45.7688902492855,10.5987808694222,0,80.9410205469515,70.0500084461597,87.9130482056222,17.8630397594625,0,0.9,25.5845061729818,60.1203113417643,34.5358051687825,1,0,29.309024912441,63.8069330807977,34.4979081683568,1,0
"368",68,30,70,46.4944145901987,40.1955527156678,53.2404748904008,13.0449221747331,0,78.6799197782536,69.8041925653544,86.8508693110301,17.0466767456758,1,0.8,43.1403079213215,75.0973465914778,31.9570386701563,0,1,42.6609594328073,72.5657619843054,29.9048025514981,0,1
"369",69,30,70,43.4636925013902,36.3100712048959,49.5956604167691,13.2855892118732,0,76.712078645897,68.1939962247916,85.2128162366666,17.0188200118751,1,0.9,37.9477975451872,70.9180853320934,32.9702877869061,0,1,36.0268891094075,69.2938414286839,33.2669523192764,0,0
"370",70,30,70,41.2734097895973,35.0376898556909,46.6511470767625,11.6134572210716,0,80.5777526376458,72.8198467251863,87.8426491232206,15.0228023980343,0,0.9,36.5010879397284,76.2981323589046,39.7970444191763,0,1,37.2385273244152,73.8348052286669,36.5962779042517,0,1
"371",71,30,70,38.2431702363065,32.1968534572768,43.8477211516026,11.6508676943257,0,79.0622221943678,71.9218867997922,86.464117620024,14.5422308202318,0,0.9,27.136632833115,68.3281540616849,41.1915212285699,1,0,26.4301116335506,70.1106597836637,43.6805481501132,1,1
"372",72,30,70,43.814456976975,36.9602415754516,50.1256497734677,13.1654081980162,0,76.8878598485663,68.5686589300325,85.5283698807968,16.9597109507643,1,0.8,35.2645718258524,64.1774412363138,28.9128694104613,0,0,35.0668563320646,64.378232114829,29.3113757827644,0,0
"373",73,30,70,44.0911913884977,36.8885427850867,50.4712603175062,13.5827175324195,0,78.9115657468945,71.7457939283409,85.9254305231755,14.1796365948346,0,0.7,40.9792458767325,75.8740282665837,34.8947823898513,0,1,41.4201223260924,74.6035002518133,33.1833779257209,0,1
"374",74,30,70,44.0832726616387,36.2841087642855,51.1083956151507,14.8242868508651,0,81.2905743363247,74.1770695867392,87.226429103531,13.0493595167919,0,1,45.322963721417,82.6873197030844,37.3643559816673,0,1,40.8148721828707,81.277553288774,40.4626811059033,0,1
"375",75,30,70,40.7141204007105,35.4779288309421,46.3190506404241,10.841121809482,0,79.3039564237073,66.2721556036411,87.3462411041836,21.0740855005425,1,1,26.6555806402674,52.9679203571996,26.3123397169322,1,0,28.2164539401767,56.8805004445846,28.6640465044079,1,0
"376",76,30,70,43.8408849911736,37.1162876463557,49.3226621231425,12.2063744767868,0,79.2698815114825,72.1174599105236,86.7310596898114,14.6135997792878,0,0.8,35.8114313664652,67.257915204275,31.4464838378097,0,0,37.4151140349059,68.1102933718763,30.6951793369704,0,0
"377",77,30,70,44.0714075285275,36.5680353255551,50.4320331038505,13.8639977782954,0,79.4125955057428,72.7573455886671,87.4576920455194,14.7003464568523,0,0.9,40.5615618890349,75.1327023577821,34.5711404687472,0,1,39.1356191644774,74.4660565900903,35.3304374256129,0,1
"378",78,30,70,42.0965441693065,36.0444975367339,47.9189420327875,11.8744444960536,0,79.2441581106569,71.6605790080242,86.8491001574044,15.1885211493801,0,0.7,31.7689611374744,67.366591743077,35.5976306056026,0,0,32.7401841748148,69.7359969925754,36.9958128177606,0,0
"379",79,30,70,41.2330678613553,34.8352507304389,46.5023336579287,11.6670829274898,0,78.8594037358648,69.8095550422796,86.043463784667,16.2339087423874,1,1,29.9701922681303,61.1917990474655,31.2216067793352,1,0,30.8198627996834,63.088306319407,32.2684435197235,0,0
"380",80,30,70,39.8603683772247,33.101786250316,45.3534414508528,12.2516552005368,0,79.4179508154831,71.3779352679131,87.0815216629327,15.7035863950196,0,1,30.0186750833055,69.7846174298778,39.7659423465723,1,0,31.3081476774803,70.9994450042798,39.6912973267994,0,1
"381",81,30,70,41.4825907333689,36.4550893831276,47.8962061595833,11.4411167764557,0,78.5037554707341,69.1269918452083,87.0635772734251,17.9365854282167,1,0.8,29.3607841744182,61.0628548314545,31.7020706570363,1,0,30.5793106444638,60.4795826698832,29.9002720254194,0,0
"382",82,30,70,41.6157303580393,35.8544657527828,47.4322257303585,11.5777599775757,0,78.3121462186316,70.0257296955663,86.3066651127605,16.2809354171942,0,0.9,32.6410024323508,65.3555381639603,32.7145357316095,0,0,33.4611898449115,65.0577112901524,31.596521445241,0,0
"383",83,30,70,44.9211042103887,39.3659842688382,50.6955483517563,11.3295640829181,0,78.1098467106294,69.1184014491136,85.276093527428,16.1576920783145,1,0.8,37.1186568378769,66.1981382120582,29.0794813741814,0,0,37.5386390211837,67.4739955779925,29.9353565568088,0,0
"384",84,30,70,46.9430528283118,39.3989566191765,54.0541500102036,14.6551933910271,0,76.8976799002132,68.9398663577064,86.1847217926465,17.2448554349401,1,0.8,44.7187740028149,72.1480173879258,27.4292433851109,0,1,43.0252644295083,70.4392080868705,27.4139436573622,0,1
"385",85,30,70,44.3472864753863,38.0410075399607,51.1995992126371,13.1585916726764,0,78.3255472304975,70.4242022214511,85.8257123144004,15.4015100929493,0,0.9,40.0024970962813,72.5916557033605,32.5891586070792,0,1,37.3964897581088,71.4744786836073,34.0779889254985,0,1
"386",86,30,70,38.3801242823016,32.6887872167632,44.006875627925,11.3180884111618,0,75.3520633186564,67.0750202123008,83.6218106880173,16.5467904757166,1,0.9,27.9423959027486,64.6159122919591,36.6735163892106,1,0,27.8355188181033,64.3409096775292,36.5053908594259,1,0
"387",87,30,70,42.9915978443715,37.0490928170573,48.3715824260599,11.3224896090025,0,77.1725372619129,67.2083804702661,85.4785545332129,18.2701740629468,1,0.7,32.7484644912258,62.0911971186326,29.3427326274068,0,0,30.0007972882194,61.2666693412145,31.2658720529951,1,0
"388",88,30,70,38.7368391197924,34.1170712594185,44.4422989626732,10.3252277032547,0,77.3994001953143,69.6553321342044,86.6318850532442,16.9765529190398,1,1,27.2377290955699,62.4048367895379,35.167107693968,1,0,27.7462121059825,62.24355477307,34.4973426670876,1,0
"389",89,30,70,38.7172028697547,33.0631608970926,44.5605600810486,11.497399183956,0,77.3389449386968,70.5373238823001,85.9114190482912,15.3740951659911,0,0.8,33.4081480953519,74.357300383535,40.9491522881832,0,1,30.3625249694013,71.5749668541175,41.2124418847163,0,1
"390",90,30,70,40.1845397358635,34.3363930592715,47.1140175465512,12.7776244872798,0,74.9524062593141,64.3160261209051,84.6041629135791,20.288136792674,1,0.8,31.6018698721522,64.316329426062,32.7144595539098,0,0,30.6142605329,61.4164495313307,30.8021889984308,0,0
