"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","lb.bayes.sdprior","ub.bayes.sdprior","cover.bayes.sdprior","width.bayes.sdprior"
"54",54,100,0,48.6042179151336,50.2989095458225,1,1.69469163068898,48.6250652538731,50.3112536385372,1,1.68618838466408,48.783895998025,50.2219410340159,1,1.43804503599091
"55",55,100,0,50.0762288723957,51.9647165609746,0,1.88848768857885,50.0950540994159,51.9289830155147,0,1.83392891609878,50.2594196411986,51.8275186836131,0,1.56809904241452
"56",56,100,0,48.3039877196969,50.3075701354078,1,2.00358241571082,48.2714801463738,50.382886670644,1,2.11140652427021,48.4660600431351,50.134531901817,1,1.66847185868189
"57",57,100,0,49.2126765946412,51.157107009813,1,1.94443041517188,49.2050282826749,51.1786618474446,1,1.97363356476971,49.416105305289,51.0157051722556,1,1.5995998669666
"58",58,100,0,48.2588775913178,50.3326271025305,1,2.07374951121265,48.2712241621954,50.3027260366385,1,2.03150187444314,48.4524182054308,50.2078151885555,1,1.7553969831247
"59",59,100,0,49.0139988657268,50.8542222796114,1,1.8402234138846,48.9965408495306,50.8278466130415,1,1.83130576351099,49.2190358450709,50.7062048098103,1,1.48716896473936
"60",60,100,0,49.1273708383379,51.2099438917309,1,2.08257305339292,49.084199889378,51.0785241517149,1,1.99432426233697,49.3782550048274,51.0955915868714,1,1.71733658204393
"61",61,100,0,49.2951497960226,51.1524492008737,1,1.8572994048511,49.3502352140231,51.2468810102198,1,1.89664579619672,49.4829079019706,51.0194287045726,1,1.53652080260195
"62",62,100,0,48.9956031303101,50.945017889526,1,1.94941475921595,49.0035238115991,51.049624158149,1,2.04610034654988,49.2017613606,50.8165650883279,1,1.6148037277279
"63",63,100,0,49.7533067970903,52.0048441277334,1,2.25153733064309,49.7059015525272,51.9827349055315,1,2.27683335300426,49.9913341029221,51.8215612868093,1,1.83022718388718
"64",64,100,0,49.959277928046,51.8789716307837,1,1.91969370273767,49.9881568015745,51.8653603319075,1,1.877203530333,50.1587089088297,51.6893616846794,0,1.53065277584965
"65",65,100,0,49.1551376349578,51.4289155558661,1,2.27377792090836,49.1387763949247,51.4168021286633,1,2.27802573373863,49.3417883339712,51.2408181809589,1,1.89902984698764
"66",66,100,0,48.3136884780093,50.2860542280259,1,1.97236575001661,48.1976425488636,50.2817861431973,1,2.0841435943337,48.449761703353,50.1483613562185,1,1.69859965286549
"67",67,100,0,48.5291142784448,50.5944899528344,1,2.06537567438964,48.5364271842751,50.6024742721775,1,2.06604708790245,48.7188209253464,50.4340318205973,1,1.71521089525086
"68",68,100,0,49.1960113538684,51.1780469166859,1,1.98203556281749,49.1257533364609,51.1250256148851,1,1.99927227842417,49.3925352974434,51.0229568572179,1,1.63042155977454
"69",69,100,0,48.4259055761951,50.2678251737483,1,1.84191959755312,48.4515575161373,50.2750800169145,1,1.82352250077719,48.6119039916384,50.1302701943485,1,1.51836620271001
"70",70,100,0,49.4084133138931,51.5233616076925,1,2.11494829379942,49.4295037217841,51.5898840528181,1,2.16038033103401,49.5849459557546,51.3193914661017,1,1.73444551034712
"71",71,100,0,47.9826524009451,50.1501845371137,1,2.1675321361686,48.0227194369613,50.2456145805954,1,2.22289514363411,48.1686534313496,50.0053878737741,1,1.83673444242447
"72",72,100,0,49.368765268157,51.104655544088,1,1.73589027593104,49.393825026589,51.0424224303369,1,1.64859740374793,49.5188938249716,50.947780391217,1,1.42888656624539
"73",73,100,0,49.8187174290181,51.919105212016,1,2.10038778299788,49.7905016311933,51.9634221260646,1,2.17292049487134,50.0257037819176,51.7684684300296,0,1.74276464811205
"74",74,100,0,49.3187669872485,51.1155662158257,1,1.79679922857721,49.2459626499017,51.1275514824917,1,1.88158883258995,49.4367951315822,50.9571213173225,1,1.52032618574027
"75",75,100,0,48.6962358302763,50.8226658956493,1,2.12643006537299,48.6376271385964,50.8182635441108,1,2.18063640551446,48.9073277451985,50.6526181089478,1,1.7452903637493
"76",76,100,0,48.8458193792693,50.9050133263734,1,2.05919394710413,48.7272414209266,50.8929904004463,1,2.16574897951974,49.0070170468304,50.7401225156203,1,1.73310546878982
"77",77,100,0,49.0743725696812,51.0118646075719,1,1.93749203789064,49.1051070084401,50.9894478336576,1,1.88434082521746,49.2782234468916,50.8558671294386,1,1.57764368254703
"78",78,100,0,50.1310733849755,51.8283890972549,0,1.69731571227942,50.1451815163479,51.9233874870411,0,1.77820597069326,50.2730156232915,51.6794215526543,0,1.40640592936283
"79",79,100,0,49.1462868728463,50.9884513814068,1,1.84216450856047,49.0576064449939,50.9295631470299,1,1.87195670203599,49.2648055779519,50.8433164600129,1,1.57851088206108
"80",80,100,0,48.5910088261395,50.4829690955947,1,1.89196026945523,48.6733097255585,50.5110937412521,1,1.83778401569354,48.7816933479039,50.3270915018361,1,1.54539815393216
"81",81,100,0,48.3759125300549,50.309214144732,1,1.93330161467715,48.3933055980723,50.370135655714,1,1.97683005764176,48.5878517372934,50.1380579309145,1,1.55020619362101
"82",82,100,0,48.6271541943932,50.7994830759742,1,2.17232888158102,48.6913682641077,50.7415729222229,1,2.05020465811515,48.8692074791167,50.6323821031427,1,1.76317462402596
"83",83,100,0,49.3280265348706,51.2257532907056,1,1.89772675583504,49.3594543015461,51.2466853032845,1,1.88723100173842,49.5382600978226,51.1126989446683,1,1.57443884684564
"84",84,100,0,48.1306754528303,50.3277598100393,1,2.19708435720898,48.1467431579482,50.3825355243763,1,2.23579236642811,48.3260424876509,50.1691204994485,1,1.84307801179754
"85",85,100,0,49.7136563378672,51.3298259568133,1,1.61616961894602,49.6459281696098,51.3157034139817,1,1.66977524437192,49.9101859196027,51.2255935086875,1,1.31540758908471
"86",86,100,0,49.455459475862,51.4289645107128,1,1.9735050348508,49.4001233144866,51.3903981580235,1,1.9902748435369,49.6505350805585,51.3219765260516,1,1.67144144549311
"87",87,100,0,49.0922997708148,51.271693188257,1,2.17939341744223,49.0320031642245,51.1719722185737,1,2.13996905434913,49.2901390805531,51.1303772334902,1,1.84023815293707
"88",88,100,0,50.7253606113615,52.4856614354196,0,1.76030082405806,50.672403954968,52.5205320237976,0,1.84812806882952,50.8777005592896,52.3138526608586,0,1.43615210156904
"89",89,100,0,48.8804156128485,50.90125446271,1,2.02083884986152,48.7957423933957,50.8992351299321,1,2.10349273653637,49.079226351935,50.7940642980972,1,1.71483794616227
"90",90,100,0,49.9085406507777,52.049524249738,1,2.14098359896028,49.9636015424269,52.0520914735448,1,2.08848993111792,50.0985418468984,51.9059793615066,0,1.80743751460817
"91",91,100,0,48.9920658798882,50.8396380317318,1,1.84757215184362,49.0212230698869,50.8336942344675,1,1.8124711645806,49.1693598438886,50.6805417363832,1,1.51118189249456
"92",92,100,0,48.4850640939109,50.7127934367546,1,2.22772934284373,48.5193214449007,50.8155447546379,1,2.29622330973714,48.7333311137854,50.531594854825,1,1.79826374103955
"93",93,100,0,49.645116150995,51.6509949857374,1,2.0058788347424,49.6516526605077,51.7460008817213,1,2.09434822121361,49.8501235234777,51.4929116483684,1,1.64278812489062
"94",94,100,0,48.0495395331914,50.136079494174,1,2.08653996098266,48.0208611561187,50.0436510815239,1,2.02278992540519,48.2817147708466,49.9862786061855,0,1.70456383533892
"95",95,100,0,48.9001108268414,50.9939627679922,1,2.09385194115075,48.8521812930278,50.954968087956,1,2.10278679492828,49.1040793924313,50.8607243135213,1,1.75664492108999
"96",96,100,0,49.4717273602869,51.4246087995867,1,1.9528814392998,49.4579705686643,51.4447057937766,1,1.98673522511233,49.6529585624221,51.2599550765409,1,1.6069965141188
"97",97,100,0,48.3057732502527,50.2898324714298,1,1.98405922117712,48.345589206785,50.3803351803978,1,2.03474597361278,48.4914218599528,50.1374689213643,1,1.64604706141149
"98",98,100,0,48.7935100236087,50.8824688686152,1,2.08895884500656,48.7821350608804,50.8406550192005,1,2.05851995832013,48.9833217105723,50.7066292011684,1,1.72330749059615
"99",99,100,0,49.0541959227372,51.1586946397823,1,2.10449871704505,48.9576618325719,51.1442001182066,1,2.1865382856347,49.2589519042392,51.0319625231244,1,1.77301061888519
"100",100,100,0,48.8675468349701,50.6114157230259,1,1.74386888805581,48.8378810365364,50.5760886841908,1,1.7382076476544,49.0396943619914,50.4678262112103,1,1.42813184921884
