"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","lb.bayes.sdprior5","ub.bayes.sdprior5","cover.bayes.sdprior5","width.bayes.sdprior5"
"105",5,10,-0.5,55.8385809071501,76.5716240503857,1,20.7330431432356,56.0878490313657,76.2557368772026,1,20.167887845837,58.6144929264877,74.4774598094979,1,15.8629668830102
"106",6,10,-0.5,63.2807527163062,76.2463966856175,1,12.9656439693113,61.5384523251335,74.8561056807226,1,13.317653355589,64.4202972716544,75.3239234305672,1,10.9036261589128
"107",7,10,-0.5,55.6681270578649,76.2053945414936,1,20.5372674836287,56.2887307019007,75.570218220057,1,19.2814875181564,58.2950476404182,74.257463000628,1,15.9624153602098
"108",8,10,-0.5,60.8382916452047,77.7816784336216,1,16.9433867884169,60.6927114224255,77.152159807,1,16.4594483845745,62.299781899047,76.1322922087014,1,13.8325103096544
"109",9,10,-0.5,64.6210577223346,77.6849948562648,1,13.0639371339302,62.0943055149967,76.8901255273706,1,14.795820012374,65.5308015273068,76.7806808747965,1,11.2498793474897
"110",10,10,-0.5,54.8216083127745,78.5174064416697,1,23.6957981288952,53.4044931735746,78.3499049756687,1,24.9454118020941,57.7463491568116,76.4949960024333,1,18.7486468456217
"111",11,10,-0.5,58.3326360275919,74.1301441899724,1,15.7975081623804,58.8403500343684,73.7026770124644,1,14.862326978096,59.9241513809181,73.3786796012519,1,13.4545282203338
"112",12,10,-0.5,50.5757785640596,70.1277945208434,1,19.5520159567837,49.7292335878497,69.0472789396812,1,19.3180453518315,52.8822582384616,69.0627716645875,1,16.1805134261259
"113",13,10,-0.5,73.7001116039814,80.0428147574099,0,6.34270315342857,74.0482662404375,80.9306307421825,0,6.882364501745,74.0959948109783,79.6521067069767,0,5.55611189599834
"114",14,10,-0.5,58.8482626455559,81.7980465725037,1,22.9497839269477,57.0981553665802,79.7118241785675,1,22.6136688119873,61.2566991010616,79.2297123339479,1,17.9730132328863
"115",15,10,-0.5,56.3991305830127,73.6478024338299,1,17.2486718508172,58.0600814372956,76.2925112988981,1,18.2324298616025,58.1059847938935,72.9933246214678,1,14.8873398275742
"116",16,10,-0.5,69.3268498726995,79.518689069703,0,10.1918391970036,69.332075852265,79.8188036381398,0,10.4867277858748,70.3099698527501,78.8600339435889,0,8.55006409083882
"117",17,10,-0.5,60.9446298635691,76.9896254863566,1,16.0449956227875,59.8854093198245,76.0019981704878,1,16.1165888506632,62.8062999047898,75.6967294137121,1,12.8904295089223
"118",18,10,-0.5,61.5738827949477,76.0487735876367,1,14.474890792689,62.9034126846275,77.2768993782115,1,14.373486693584,62.9291093298767,74.9802863747335,1,12.0511770448568
"119",19,10,-0.5,55.094039196883,87.4089018753891,1,32.3148626785061,49.2544658642392,83.6873376151218,1,34.4328717508826,60.336965631537,82.1619640791016,1,21.8249984475646
"120",20,10,-0.5,61.4845202386726,76.8263200367132,1,15.3417997980406,62.9286056730149,79.4711128980722,1,16.5425072250573,62.7145101031501,75.4935307914376,1,12.7790206882875
"121",21,10,-0.5,64.5298533608006,78.0860990803723,1,13.5562457195717,65.7759389423369,78.8760746418024,1,13.1001356994656,65.5938242081352,76.8345311871704,1,11.2407069790352
"122",22,10,-0.5,59.0692883021523,80.6023104583385,1,21.5330221561861,57.0559982323348,79.0301056005644,1,21.9741073682295,62.0231796700947,78.1316034523865,1,16.1084237822918
"123",23,10,-0.5,49.1553053661683,72.2553538052666,1,23.1000484390983,49.2432236235836,72.1895912088237,1,22.9463675852401,52.4324508125396,70.4031388038111,1,17.9706879912715
"124",24,10,-0.5,57.449568491669,75.0466826404556,1,17.5971141487866,56.7728047689694,74.6900887340494,1,17.91728396508,59.6584961884463,73.1690482101129,1,13.5105520216666
"125",25,10,-0.5,54.6912937503444,72.710280819707,1,18.0189870693626,54.0200550637307,72.1482003385738,1,18.1281452748431,57.13186369435,71.4011646489119,1,14.2693009545619
"126",26,10,-0.5,62.3789300912539,76.5609830654261,1,14.1820529741721,63.9684104285479,77.8903989960071,1,13.9219885674592,63.4605180203031,75.2873470300546,1,11.8268290097515
"127",27,10,-0.5,58.0508313188294,68.5058028087221,1,10.4549714898927,58.0650090381676,67.9549084690909,0,9.88989943092334,58.987964928536,67.7004316552946,0,8.71246672675861
"128",28,10,-0.5,61.6471147229686,71.0799361724506,1,9.43282144948196,62.0827698298776,71.4555060577675,1,9.37273622788992,62.271279804354,70.3456086902085,1,8.07432888585449
"129",29,10,-0.5,59.2579388913544,75.6304939185356,1,16.3725550271812,58.9864154197157,75.6453157283503,1,16.6589003086345,60.7662036210088,74.1988603673577,1,13.4326567463488
"130",30,10,-0.5,53.3585469815192,74.2095664635976,1,20.8510194820784,54.3444589996428,72.830290477904,1,18.4858314782611,56.2209404300223,72.2946791311564,1,16.0737387011341
